T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
75.9443236457323,442978296.426454,451353931.227404,1095479214.83451,1045741620.99845,1538457511.26096,1497095552.22585,20257702.4567065,19713067.1571726
76.1288550984767,446730316.815982,455005343.7657,1106891737.12243,1057067484.47965,1553622053.93842,1512072828.24535,20407794.8106634,19862019.8147745
76.3133865512211,450510101.943108,458684312.149385,1118388224.28699,1068478174.6798,1568898326.2301,1527162486.82918,20558625.3907133,20011724.7595655
76.4979180039655,454317788.236274,462390975.477409,1129969088.99164,1079974130.03532,1584286877.22791,1542365105.51273,20710196.0305751,20162184.0930619
76.6824494567098,458153512.656336,466125472.964335,1141634749.70871,1091555786.22891,1599788262.36505,1557681259.19324,20862508.6191741,20313399.8762003
76.8669809094542,462017412.183213,469887944.47615,1153385625.11752,1103223562.22471,1615403037.30074,1573111506.70086,21015565.0473992,20465373.9254794
77.0515123621986,465909624.037207,473678530.114692,1165222132.77314,1114977870.93419,1631131756.81035,1588656401.04888,21169367.1821357,20618107.9689023
77.236043814943,469830286.218648,477497370.152265,1177144686.58258,1126819126.83409,1646974972.80123,1604316496.98636,21323916.8123804,20771603.7482122
77.4205752676874,473779536.885799,481344605.471338,1189153699.7142,1138747750.04472,1662933236.6,1620092355.51606,21479215.7113592,20925863.0548669
77.6051067204317,477757514.237763,485220377.092325,1201249585.49332,1150764161.94972,1679007099.73108,1635984539.04205,21635265.6527435,21080887.691401
77.7896381731761,481764357.085169,489124826.300521,1213432759.59585,1162868783.64966,1695197116.68102,1651993609.95018,21792068.4168737,21236679.4465237
77.9741696259205,485800204.709649,493058094.975573,1225703639.50809,1175062035.60987,1711503844.21774,1668120130.58545,21949625.789227,21393240.0779229
78.1587010786649,489865196.405375,497020325.085174,1238062642.76394,1187344338.30478,1727927839.16932,1684364663.38995,22107939.5554092,21550571.3400049
